noise_est=5.168608367966954e-07, dc_offset=7.397983426926658e-05, n_samples=4096
noise_est=4.889610067948524e-07, dc_offset=6.273483450058848e-05, n_samples=4095
noise_est=4.89662397740176e-07, dc_offset=7.188354356912896e-05, n_samples=4096
noise_est=5.187466740608215e-07, dc_offset=7.120645750546828e-05, n_samples=4095
noise_est=5.054552048022742e-07, dc_offset=5.874747148482129e-05, n_samples=4096
noise_est=4.7504181566182524e-07, dc_offset=7.07539074937813e-05, n_samples=4095
noise_est=4.809496658708667e-07, dc_offset=6.006067633279599e-05, n_samples=4096
noise_est=4.918588274449576e-07, dc_offset=7.507883128710091e-05, n_samples=4095
noise_est=4.946180069964612e-07, dc_offset=6.365139415720478e-05, n_samples=4096
noise_est=4.876536650044727e-07, dc_offset=6.951774412300438e-05, n_samples=4095
noise_est=4.920453307022399e-07, dc_offset=7.065725367283449e-05, n_samples=4096
noise_est=4.887711497758573e-07, dc_offset=6.13168376730755e-05, n_samples=4095
noise_est=4.6819843646517256e-07, dc_offset=7.371576793957502e-05, n_samples=4096
noise_est=4.888473768005497e-07, dc_offset=6.335849320748821e-05, n_samples=4095
noise_est=5.150613446858188e-07, dc_offset=6.5318621636834e-05, n_samples=4096
noise_est=4.779128630616469e-07, dc_offset=7.358574657700956e-05, n_samples=4095
noise_est=4.5981641960679553e-07, dc_offset=6.596556340809911e-05, n_samples=4096
noise_est=5.04104775700398e-07, dc_offset=6.41306905890815e-05, n_samples=4095
noise_est=5.153762003828888e-07, dc_offset=6.942042818991467e-05, n_samples=4096
noise_est=5.114044938636653e-07, dc_offset=5.6470398703822866e-05, n_samples=4095
noise_est=4.929805754727568e-07, dc_offset=8.248349331552163e-05, n_samples=4096
noise_est=5.067819870419044e-07, dc_offset=7.064433884806931e-05, n_samples=4095
noise_est=4.767680934492091e-07, dc_offset=5.633838372887112e-05, n_samples=4096
noise_est=4.666455595270236e-07, dc_offset=7.146356801968068e-05, n_samples=4095
noise_est=5.180129960535851e-07, dc_offset=5.875308488612063e-05, n_samples=4096
noise_est=4.98634108225815e-07, dc_offset=7.414560968754813e-05, n_samples=4095
noise_est=4.896041332358436e-07, dc_offset=6.797380046918988e-05, n_samples=4096
noise_est=5.089962087367894e-07, dc_offset=6.616758764721453e-05, n_samples=4095
noise_est=4.980250309927214e-07, dc_offset=7.196601654868573e-05, n_samples=4096
noise_est=5.153167990101792e-07, dc_offset=6.0830214351881295e-05, n_samples=4095
noise_est=4.7198258812386484e-07, dc_offset=7.00591117492877e-05, n_samples=4096
noise_est=4.890929972134472e-07, dc_offset=6.237219349713996e-05, n_samples=4095
noise_est=5.11060761709814e-07, dc_offset=7.871636626077816e-05, n_samples=4096
noise_est=4.6329398628586205e-07, dc_offset=5.210351446294226e-05, n_samples=3840
noise_est=5.300511816130893e-07, dc_offset=7.894223381299525e-05, n_samples=4351
noise_est=5.05085324675747e-07, dc_offset=6.199732888489962e-05, n_samples=4095
mean_noise_power=1.466350902319391e-06
noise_est=1.2621769201359712e-05, dc_offset=9.907300409395248e-05, n_samples=4095
noise_est=1.2506634448072873e-05, dc_offset=2.254681385238655e-05, n_samples=4096
noise_est=1.2641578905459028e-05, dc_offset=4.329830335336737e-05, n_samples=4095
noise_est=1.7483605461166007e-06, dc_offset=0.00013106603000778705, n_samples=4096
noise_est=5.305048489390174e-07, dc_offset=5.7095687225228176e-05, n_samples=4095
noise_est=5.12963822529855e-07, dc_offset=7.73696374380961e-05, n_samples=4096
noise_est=5.265868594506173e-07, dc_offset=6.21372673776932e-05, n_samples=4095
noise_est=5.208029847381113e-07, dc_offset=6.731567555107176e-05, n_samples=4096
noise_est=5.010073209632537e-07, dc_offset=7.213587377918884e-05, n_samples=4095
noise_est=4.968434836882807e-07, dc_offset=6.72847600071691e-05, n_samples=4096
noise_est=5.405966021498898e-07, dc_offset=6.325156573439017e-05, n_samples=4095
noise_est=4.938175948154822e-07, dc_offset=6.788683822378516e-05, n_samples=4096
noise_est=5.093537538414239e-07, dc_offset=6.530573591589928e-05, n_samples=4095
noise_est=4.970285658600915e-07, dc_offset=6.473949906649068e-05, n_samples=4096
noise_est=5.297372922541399e-07, dc_offset=7.94905936345458e-05, n_samples=4095
noise_est=5.176638069315231e-07, dc_offset=5.839306322741322e-05, n_samples=4096
noise_est=4.81857000522723e-07, dc_offset=6.564271461684257e-05, n_samples=4095
noise_est=5.142217105458258e-07, dc_offset=7.117300992831588e-05, n_samples=4096
noise_est=5.2142178219583e-07, dc_offset=6.207713158801198e-05, n_samples=4095
noise_est=5.078137519376469e-07, dc_offset=7.035875751171261e-05, n_samples=4096
noise_est=4.949716867486131e-07, dc_offset=7.057653419906273e-05, n_samples=4095
noise_est=4.7246169287973316e-07, dc_offset=6.72058667987585e-05, n_samples=4096
noise_est=4.9886688202605e-07, dc_offset=6.87224164721556e-05, n_samples=4095
noise_est=4.899212058262492e-07, dc_offset=6.361574196489528e-05, n_samples=4096
noise_est=4.998129270461504e-07, dc_offset=7.27949955035001e-05, n_samples=4095
noise_est=5.030735792388441e-07, dc_offset=6.751508772140369e-05, n_samples=4096
noise_est=5.034468131270842e-07, dc_offset=6.813561776652932e-05, n_samples=4095
noise_est=4.926384917780524e-07, dc_offset=7.086489495122805e-05, n_samples=4096
noise_est=5.433433329926629e-07, dc_offset=6.738502270309255e-05, n_samples=4095
noise_est=5.000346732231264e-07, dc_offset=6.039435538696125e-05, n_samples=4096
noise_est=4.955716121912701e-07, dc_offset=7.026772073004395e-05, n_samples=4095
noise_est=4.972218903276371e-07, dc_offset=6.66021733195521e-05, n_samples=4096
noise_est=5.220019261287234e-07, dc_offset=7.041887874947861e-05, n_samples=4095
noise_est=5.184115252632182e-07, dc_offset=6.754777859896421e-05, n_samples=4096
noise_est=4.987037982573383e-07, dc_offset=6.502751784864813e-05, n_samples=4095
noise_est=5.263780735731416e-07, dc_offset=7.027963147265837e-05, n_samples=4096
noise_est=5.161659828445408e-07, dc_offset=6.710129673592746e-05, n_samples=4095
